timestamp,open,high,low,close,volume
2024-04-05,190.98,190.98,187.14,189.82,593678
2024-04-08,194.99,194.99,189.11,190.04,504143
2024-04-09,195.75,195.75,188.01,189.09,304187
2024-04-10,194.75,194.75,184.02,190.6,450790
2024-04-12,191.99,191.99,189.65,190.37,608551
2024-04-15,192.99,192.99,185.0,187.6,681551
2024-04-16,187.99,188.65,185.02,187.56,486674
2024-04-18,189.39,189.39,186.28,186.54,643182
2024-04-19,182.03,186.5,182.03,186.08,660047
2024-04-22,189.0,189.0,186.3,187.3,344947
2024-04-23,192.9,192.9,187.3,188.82,378895
2024-04-24,192.25,192.25,188.82,190.51,588926
2024-04-25,193.01,193.01,189.52,191.19,273214
2024-04-26,193.01,193.01,186.02,192.61,443149
2024-04-29,197.99,197.99,192.17,192.73,607071
2024-04-30,197.99,197.99,192.75,194.21,421621
2024-05-02,200.05,200.05,193.76,194.78,330216
2024-05-03,198.1,198.1,192.9,193.34,604020
2024-05-06,197.0,197.0,191.48,193.18,421720
2024-05-07,197.0,197.0,188.55,189.65,616497
2024-05-08,193.9,193.9,188.14,190.69,246118
2024-05-09,193.95,193.95,187.0,187.71,427058
2024-05-10,193.0,193.0,185.7,189.22,328096
2024-05-13,192.05,192.05,185.75,190.03,537083
2024-05-14,195.75,195.75,187.0,191.85,271509
2024-05-15,197.6,197.6,189.93,193.68,161926
2024-05-16,196.0,196.0,193.0,194.94,385720
2024-05-17,197.0,197.0,194.94,196.62,614645
2024-05-18,199.99,199.99,196.62,197.54,59573
2024-05-21,198.99,198.99,196.58,198.51,437101
2024-05-22,201.99,201.99,198.02,199.81,404904
2024-05-23,201.9,203.99,199.26,200.18,291650
2024-05-24,203.99,203.99,199.33,200.88,594679
2024-05-27,204.99,204.99,200.12,201.31,560533
2024-05-28,204.99,204.99,197.01,200.02,368567
2024-05-29,202.99,202.99,198.39,199.36,211477
2024-05-30,202.99,202.99,196.88,197.65,355235
2024-05-31,202.99,202.99,196.37,198.74,468989
2024-06-03,204.0,211.97,201.02,206.84,1532228
2024-06-04,213.05,213.05,190.0,207.35,2689047
2024-06-05,213.55,213.55,188.05,196.48,2931598
2024-06-06,202.35,202.35,197.03,200.69,973331
2024-06-07,203.99,203.99,196.01,203.25,662700
2024-06-10,206.99,206.99,202.72,204.72,499673
2024-06-11,207.99,207.99,203.01,206.32,488949
2024-06-12,207.89,208.84,203.0,208.67,710015
2024-06-13,211.0,211.99,208.67,209.92,429649
2024-06-14,213.99,213.99,209.73,212.23,396802
2024-06-18,215.9,215.9,212.24,213.45,482581
2024-06-19,215.99,215.99,210.6,211.52,484747
2024-06-20,216.99,216.99,210.12,213.32,446129
2024-06-21,216.99,216.99,212.14,212.95,513334
2024-06-24,215.0,215.0,210.05,213.35,384206
2024-06-25,212.58,216.0,212.58,213.08,313346
2024-06-26,217.99,217.99,212.0,212.51,280623
2024-06-27,216.0,216.0,210.38,212.69,328749
2024-06-28,214.99,214.99,212.0,213.59,336791
2024-07-01,217.25,217.25,214.0,216.04,890484
2024-07-02,218.99,218.99,213.02,215.12,511001
2024-07-03,218.99,218.99,213.01,216.21,260020
2024-07-04,218.99,218.99,215.51,217.84,304191
2024-07-05,219.9,219.9,216.89,219.59,458558
2024-07-08,220.99,221.47,218.2,219.07,610413
2024-07-09,220.99,220.99,218.6,219.58,411122
2024-07-10,222.99,222.99,214.36,218.51,615778
2024-07-11,222.99,222.99,216.11,218.86,243069
2024-07-12,221.99,221.99,218.02,218.95,232745
2024-07-15,222.74,222.99,218.02,219.68,393060
2024-07-16,222.47,222.47,219.5,220.14,318917
2024-07-18,222.99,222.99,215.01,218.5,769272
2024-07-19,222.99,222.99,213.01,214.06,926171
2024-07-22,218.99,218.99,211.93,215.55,670464
2024-07-23,218.99,218.99,208.41,215.48,752593
2024-07-24,218.99,218.99,212.0,217.26,298924
2024-07-25,218.99,218.99,210.75,216.73,253567
2024-07-26,219.99,221.0,216.07,220.65,461455
2024-07-29,222.65,224.0,218.0,222.35,413818
2024-07-30,229.0,229.0,222.35,223.49,358663
2024-07-31,225.99,225.99,222.11,224.77,308445
2024-08-01,226.99,226.99,222.0,223.18,541833
2024-08-02,222.99,222.99,220.1,221.19,540720
2024-08-05,219.99,219.99,212.0,217.26,1619363
2024-08-06,216.01,218.0,211.35,211.98,1197275
2024-08-07,216.0,216.35,213.02,216.06,544266
2024-08-08,218.99,218.99,215.23,216.09,391795
2024-08-09,218.9,218.9,217.0,217.62,785549
2024-08-12,219.99,219.99,214.05,217.79,401034
2024-08-13,219.45,219.45,216.0,216.28,281504
2024-08-14,218.99,218.99,214.0,215.09,330496
2024-08-16,219.0,219.36,213.0,217.52,478106
2024-08-19,219.47,220.2,215.02,219.6,409109
2024-08-20,222.99,222.99,216.01,220.98,477751
2024-08-21,222.99,222.99,218.01,222.35,228535
2024-08-22,220.01,224.6,220.01,223.8,525599
2024-08-23,225.0,226.93,222.01,222.77,273760
2024-08-26,225.92,225.92,222.67,223.73,334576
2024-08-27,224.0,225.99,222.67,224.17,462635
2024-08-28,225.87,225.87,223.46,224.17,243244
2024-08-29,225.5,225.5,222.45,223.6,533163
2024-08-30,226.99,226.99,223.61,224.76,298869
2024-09-02,225.7,226.97,223.94,224.32,449383
2024-09-03,226.99,226.99,224.33,225.08,222268
2024-09-04,225.99,225.99,221.01,225.09,313577
2024-09-05,221.01,231.85,218.35,225.92,209316
2024-09-06,227.99,227.99,222.0,223.22,744354
2024-09-09,216.5,225.0,216.5,222.47,358211
2024-09-10,225.95,225.95,222.02,224.89,247242
2024-09-11,227.5,227.5,223.8,224.47,280059
2024-09-12,227.0,227.0,224.41,226.17,315043
2024-09-13,229.99,229.99,225.02,227.53,567385
2024-09-16,227.53,231.95,227.53,229.08,384179
2024-09-17,226.01,232.99,226.01,228.83,241800
2024-09-18,230.95,230.95,226.01,227.22,538659
2024-09-19,225.01,230.3,222.67,226.19,616155
2024-09-20,229.5,229.5,225.01,228.27,379645
2024-09-23,231.99,231.99,227.36,230.23,503400
2024-09-24,232.6,232.6,230.06,230.88,337828
2024-09-25,230.61,233.88,229.14,230.16,334921
2024-09-26,232.95,232.95,227.01,230.26,377863
2024-09-27,232.7,232.7,228.9,229.4,527451
2024-09-30,230.0,230.0,227.05,228.78,395415
2024-10-01,235.65,235.65,228.3,230.25,267089
2024-10-03,229.99,229.99,225.01,226.39,978155
2024-10-04,226.99,227.97,221.0,225.43,721450
2024-10-07,228.4,228.4,216.42,219.85,2749645
2024-10-08,224.95,224.95,218.0,222.91,510655
2024-10-09,225.99,226.49,222.0,225.53,378950
2024-10-10,228.99,228.99,224.75,225.1,259690
2024-10-11,226.99,226.99,223.62,225.48,275313
2024-10-14,227.99,227.99,223.01,226.9,300186
2024-10-15,229.95,229.95,225.55,226.69,360229
2024-10-16,227.99,227.99,224.11,226.91,202064
2024-10-17,227.9,227.93,223.25,223.42,506322
2024-10-18,226.42,226.42,219.26,223.88,442664
2024-10-21,227.99,227.99,220.2,220.52,514677
2024-10-22,220.0,222.45,214.53,215.07,1265554
2024-10-23,211.01,218.9,211.01,215.69,700186
2024-10-24,218.99,218.99,212.3,215.41,294449
2024-10-25,216.89,217.0,209.53,211.75,1194354
2024-10-28,210.01,214.75,210.01,212.98,548471
2024-10-29,214.9,214.9,210.24,214.56,552295
2024-10-30,216.97,216.97,211.74,215.17,381050
2024-10-31,218.99,218.99,213.5,215.0,343047
2024-11-01,217.99,219.66,215.0,218.01,152038
2024-11-04,220.99,220.99,212.64,213.7,1127318
2024-11-05,215.99,215.99,210.01,214.41,483061
2024-11-06,218.99,219.34,214.05,218.95,804305
2024-11-07,220.99,220.99,217.19,217.79,417136
2024-11-08,219.99,219.99,214.45,214.88,473910
2024-11-11,217.88,217.88,212.5,213.6,374883
2024-11-12,217.98,217.99,210.9,211.48,342667
2024-11-13,215.98,215.99,205.15,206.7,1106083
2024-11-14,209.99,209.99,200.5,207.08,399822
2024-11-18,204.01,211.99,204.01,206.61,449580
2024-11-19,209.99,212.0,204.01,208.49,735045
2024-11-21,209.99,209.99,206.0,207.73,370895
2024-11-22,210.99,216.0,207.6,210.59,542499
2024-11-25,216.9,219.99,212.02,213.29,515383
2024-11-26,216.3,216.3,212.63,213.35,358146
2024-11-27,217.99,217.99,212.51,214.42,248630
2024-11-28,218.0,218.0,211.01,214.2,1006140
2024-11-29,218.99,218.99,213.6,215.31,390520
2024-12-02,217.99,219.95,213.23,217.02,346166
2024-12-03,223.55,223.55,210.5,219.11,379156
2024-12-04,221.99,221.99,217.01,221.03,398392
