timestamp,open,high,low,close,volume
2024-04-05,31.91,32.09,31.77,32.02,405059
2024-04-08,32.03,32.31,31.95,32.03,424432
2024-04-09,32.35,32.35,31.51,31.88,354256
2024-04-10,31.9,32.16,31.15,32.1,317068
2024-04-12,32.35,32.35,31.66,32.03,934733
2024-04-15,32.01,32.01,31.01,31.62,729334
2024-04-16,31.55,31.75,31.21,31.66,372678
2024-04-18,35.0,35.0,31.25,31.4,665250
2024-04-19,31.0,31.25,30.67,31.13,1035311
2024-04-22,31.25,31.82,31.25,31.59,136368
2024-04-23,32.0,32.0,31.5,31.72,634939
2024-04-24,32.09,32.09,31.5,31.99,271497
2024-04-25,32.35,32.5,31.55,32.4,1010809
2024-04-26,32.79,33.0,31.8,32.72,1226654
2024-04-29,32.96,32.97,32.61,32.71,522441
2024-04-30,32.8,33.19,32.67,33.07,512239
2024-05-02,33.44,33.75,33.11,33.7,1114398
2024-05-03,33.73,34.32,33.44,33.84,1182155
2024-05-06,33.84,34.28,32.76,33.25,1601498
2024-05-07,33.77,33.77,32.21,32.53,2028674
2024-05-08,32.56,33.22,32.15,33.09,449071
2024-05-09,33.2,33.3,32.03,32.48,1410878
2024-05-10,32.92,32.97,32.3,32.81,451668
2024-05-13,33.17,33.18,32.12,32.85,715725
2024-05-14,33.25,33.28,32.86,33.21,531858
2024-05-15,34.2,34.2,33.24,33.41,921347
2024-05-16,33.69,33.89,33.3,33.8,2449897
2024-05-17,33.92,34.21,33.67,34.17,1925919
2024-05-18,34.17,34.89,34.17,34.54,226388
2024-05-21,35.0,35.25,34.04,34.67,4210095
2024-05-22,35.7,35.7,34.45,34.83,3358425
2024-05-23,34.87,35.16,34.73,35.05,7121027
2024-05-24,35.05,35.68,34.93,35.47,1207620
2024-05-27,35.79,35.8,34.71,35.46,930697
2024-05-28,35.79,35.91,34.98,35.35,1286855
2024-05-29,35.4,35.68,34.63,35.26,1933578
2024-05-30,35.26,35.75,34.23,35.08,2116852
2024-05-31,35.34,35.5,34.39,34.69,2207382
2024-06-03,35.49,38.99,34.95,36.9,3323218
2024-06-04,37.22,37.9,33.01,35.62,4495992
2024-06-05,35.62,35.86,32.3,33.85,3840614
2024-06-06,34.48,36.25,34.29,34.78,1238811
2024-06-07,35.8,35.8,34.64,35.37,1183185
2024-06-10,35.5,35.82,35.24,35.5,1355652
2024-06-11,35.25,35.9,35.1,35.71,1015417
2024-06-12,35.74,36.54,35.71,36.07,794485
2024-06-13,36.09,36.52,36.0,36.35,1097361
2024-06-14,36.44,36.87,36.3,36.82,1139192
2024-06-18,36.82,37.33,36.81,36.96,1478320
2024-06-19,38.05,38.05,36.3,36.33,1990400
2024-06-20,36.45,36.54,36.01,36.24,1383433
2024-06-21,36.39,36.52,36.01,36.07,1466227
2024-06-24,36.28,36.3,35.55,36.24,1101009
2024-06-25,36.36,36.45,35.97,36.09,1514476
2024-06-26,36.09,37.39,35.83,36.13,1580242
2024-06-27,36.08,36.48,35.57,35.85,1847470
2024-06-28,35.85,36.38,35.8,35.95,1123416
2024-07-01,36.45,36.45,35.96,36.24,945960
2024-07-02,36.44,36.44,35.79,36.3,955998
2024-07-03,36.3,36.52,36.12,36.45,971641
2024-07-04,36.41,36.95,36.41,36.79,1356380
2024-07-05,36.93,37.1,36.6,37.02,1507304
2024-07-08,37.53,37.75,36.63,37.0,1177101
2024-07-09,37.15,37.51,36.92,37.13,1213180
2024-07-10,37.13,37.37,36.2,37.04,1287192
2024-07-11,37.04,37.39,36.91,37.08,666539
2024-07-12,37.29,37.36,36.7,36.91,851189
2024-07-15,37.7,37.7,36.83,37.17,596297
2024-07-16,37.28,37.39,37.0,37.02,811884
2024-07-18,37.02,37.18,36.14,36.47,2366365
2024-07-19,36.68,36.69,35.3,35.57,4114506
2024-07-22,36.65,36.65,34.73,35.88,1209159
2024-07-23,36.03,36.19,34.01,35.6,3342401
2024-07-24,35.78,35.92,35.46,35.67,1032935
2024-07-25,35.67,35.95,35.2,35.86,617990
2024-07-26,36.18,36.74,35.86,36.7,1087174
2024-07-29,36.74,38.0,36.21,37.24,2796831
2024-07-30,37.31,37.49,37.13,37.29,1136891
2024-07-31,37.3,37.63,37.26,37.51,985414
2024-08-01,37.64,37.73,37.25,37.45,2135609
2024-08-02,38.55,38.55,36.51,36.65,1672844
2024-08-05,37.65,37.65,34.82,35.5,3824847
2024-08-06,35.92,36.18,34.8,34.91,2100565
2024-08-07,35.39,36.15,35.27,36.04,1085239
2024-08-08,36.04,36.3,35.74,35.91,872430
2024-08-09,36.14,36.88,35.87,36.49,1645824
2024-08-12,36.5,36.62,36.12,36.34,838188
2024-08-13,36.56,36.59,35.9,35.94,879742
2024-08-14,36.19,36.4,35.58,35.85,804348
2024-08-16,36.39,36.6,35.91,36.55,865871
2024-08-19,37.37,37.37,36.56,36.67,1072299
2024-08-20,36.9,36.9,36.58,36.87,2178035
2024-08-21,36.9,37.07,36.88,37.0,1610984
2024-08-22,37.07,37.24,36.96,37.04,776649
2024-08-23,37.15,37.29,36.85,37.15,1197663
2024-08-26,37.68,37.68,37.18,37.46,8492669
2024-08-27,37.7,37.7,37.33,37.42,797978
2024-08-28,37.71,37.71,37.41,37.44,836797
2024-08-29,37.71,37.9,37.12,37.64,1361581
2024-08-30,37.72,37.97,37.6,37.8,1408950
2024-09-02,38.95,38.95,37.47,37.59,1276969
2024-09-03,37.84,37.85,37.51,37.61,1100425
2024-09-04,37.61,37.61,37.23,37.42,1455876
2024-09-05,38.55,38.55,37.29,37.35,642210
2024-09-06,38.45,38.45,36.6,36.72,1919202
2024-09-09,37.8,37.8,36.1,36.41,1820321
2024-09-10,36.74,36.91,36.4,36.6,2251620
2024-09-11,36.85,36.87,36.25,36.34,1615349
2024-09-12,36.65,37.15,36.41,37.1,3647937
2024-09-13,38.2,38.2,37.1,37.19,775874
2024-09-16,37.75,37.75,36.33,37.19,1501270
2024-09-17,37.29,37.34,37.05,37.25,520076
2024-09-18,37.75,37.75,36.94,37.11,864379
2024-09-19,37.14,37.39,36.28,36.67,2891595
2024-09-20,36.77,37.29,36.7,37.19,11653886
2024-09-23,37.75,37.96,37.23,37.92,1601618
2024-09-24,38.2,38.22,37.92,38.15,1457624
2024-09-25,38.23,38.4,37.92,38.11,1068165
2024-09-26,38.2,38.51,38.07,38.45,962023
2024-09-27,38.79,38.79,38.45,38.72,2973730
2024-09-30,38.95,38.95,37.9,38.33,1821198
2024-10-01,39.0,39.0,38.31,38.51,707156
2024-10-03,38.51,38.51,37.51,38.31,2900593
2024-10-04,38.32,38.32,37.06,37.44,3321211
2024-10-07,37.56,37.57,36.14,36.54,2852972
2024-10-08,37.04,37.7,36.22,37.55,1146628
2024-10-09,37.93,38.24,37.54,37.85,1682989
2024-10-10,39.42,39.42,37.86,37.98,3789684
2024-10-11,38.35,38.35,37.77,38.08,701164
2024-10-14,38.35,38.35,38.1,38.27,970543
2024-10-15,38.5,38.5,38.08,38.26,819292
2024-10-16,38.5,38.5,37.92,38.08,885498
2024-10-17,38.25,38.25,37.06,37.11,2435224
2024-10-18,37.12,37.68,36.65,37.39,1166500
2024-10-21,37.89,37.89,36.79,36.83,2590904
2024-10-22,37.33,37.33,35.87,35.97,2606469
2024-10-23,36.47,36.47,35.45,35.67,4096029
2024-10-24,35.67,35.92,35.53,35.76,1174756
2024-10-25,35.94,35.94,34.41,35.02,2103503
2024-10-28,37.54,37.54,34.53,35.22,1109647
2024-10-29,35.51,35.6,34.71,35.57,1285633
2024-10-30,36.07,36.07,35.35,35.41,1113609
2024-10-31,35.54,35.54,35.05,35.21,3216614
2024-11-01,36.0,37.18,35.11,35.51,379493
2024-11-04,36.01,36.01,34.56,35.02,1680629
2024-11-05,35.99,35.99,34.51,35.19,1123511
2024-11-06,35.5,35.87,35.21,35.8,1586932
2024-11-07,36.09,36.09,35.26,35.36,1168414
2024-11-08,35.86,35.86,34.97,35.07,616420
2024-11-11,35.56,35.56,34.52,35.05,1713175
2024-11-12,35.55,35.55,34.23,34.34,2937353
2024-11-13,34.84,34.84,33.57,33.67,3167273
2024-11-14,33.95,33.98,33.23,33.61,1442743
2024-11-18,34.02,34.02,33.4,33.55,2437891
2024-11-19,33.9,34.3,33.56,33.8,1693018
2024-11-21,34.3,34.3,32.9,33.27,3980554
2024-11-22,33.77,35.49,33.25,34.14,3333164
2024-11-25,34.93,35.0,34.59,34.69,1143045
2024-11-26,34.86,34.88,34.36,34.44,1286978
2024-11-27,35.0,35.0,34.47,34.91,2674407
2024-11-28,35.26,35.26,34.56,34.63,1317049
2024-11-29,34.81,35.09,34.32,34.94,4335075
2024-12-02,34.94,35.44,34.66,35.2,2507666
2024-12-03,35.65,35.65,35.13,35.62,3787860
2024-12-04,35.88,35.88,35.41,35.61,1610236
2024-12-05,35.89,35.89,35.34,35.8,3451158
2024-12-06,36.1,36.15,35.67,35.99,1288298
2024-12-09,37.59,37.59,35.89,35.99,1174287
2024-12-10,36.03,36.13,35.76,35.92,1163445
2024-12-11,36.25,36.25,35.56,36.03,1204235
2024-12-12,36.25,36.25,35.8,35.82,709039
2024-12-13,35.98,36.01,35.2,35.96,999902
2024-12-16,36.32,36.32,35.9,36.05,1008936
2024-12-17,36.29,36.29,35.5,35.55,1210625
2024-12-18,36.25,36.25,35.05,35.16,616185
2024-12-19,35.01,35.01,34.46,34.87,1061063
2024-12-20,35.1,35.1,33.74,33.82,2641202
2024-12-23,34.11,34.2,33.66,33.92,750779
2024-12-24,34.4,34.4,33.78,33.89,783980
2024-12-26,34.0,34.5,33.88,34.21,515417
2024-12-27,34.29,34.98,34.0,34.08,561353
2024-12-30,35.0,35.0,33.42,33.54,1174707
2024-12-31,33.58,33.68,32.85,33.34,6891063
2025-01-01,33.6,33.6,33.22,33.48,597068
2025-01-02,33.68,34.11,33.46,34.07,905195
2025-01-03,34.24,34.24,33.76,33.82,818645
2025-01-06,33.82,34.18,33.01,33.11,1329222
2025-01-07,33.25,33.38,32.97,33.01,849107
2025-01-08,33.14,33.14,32.14,32.37,6962696
2025-01-09,32.05,32.64,32.04,32.07,1296465
2025-01-10,32.16,32.28,31.65,31.84,1662401
2025-01-13,31.9,32.3,30.55,30.7,2443013
2025-01-14,30.75,30.99,30.58,30.88,1543986
2025-01-15,31.0,31.31,30.78,31.19,636407
2025-01-16,31.32,31.6,31.16,31.21,2288443
2025-01-17,31.3,31.33,30.8,31.17,892674
2025-01-20,31.21,31.66,30.9,31.27,799937
2025-01-21,31.44,31.44,30.13,30.19,3337870
2025-01-22,30.19,30.29,29.69,30.06,2326650
2025-01-23,30.18,30.88,30.08,30.75,1142068
2025-01-24,31.08,31.08,30.4,30.47,784383
2025-01-27,30.47,30.47,29.51,29.57,1662341
2025-01-28,29.78,29.78,29.01,29.2,2657617
2025-01-29,29.2,29.97,29.2,29.9,1669036
2025-01-30,30.08,30.08,29.59,29.73,1032392
2025-01-31,28.85,30.18,28.85,30.08,1287792
2025-02-01,30.26,30.33,29.75,30.17,907480
2025-02-03,30.13,30.23,29.61,30.19,661740
2025-02-04,30.39,30.69,30.28,30.57,928553
2025-02-05,30.76,30.94,30.58,30.77,5840061
2025-02-06,30.98,30.98,30.37,30.4,1035115
2025-02-07,30.42,30.79,30.33,30.68,530875
2025-02-10,30.67,30.83,30.08,30.16,873077
2025-02-11,30.36,30.36,29.23,29.35,2191283
2025-02-12,29.48,29.59,28.86,29.33,2081506
2025-02-13,29.51,29.71,29.25,29.4,633607
2025-02-14,29.59,29.61,28.58,28.7,6271800
2025-02-17,29.55,29.55,28.25,28.73,1418127
2025-02-18,29.6,29.6,28.46,28.75,878552
2025-02-19,28.8,29.09,28.34,28.97,921454
